jobid comment (() means unused)   , model OR finetuned checkpoint                     , dataset              , source, target, lp , chrf  , comet, bleu  , exact
15204273 (duplicate)              , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , de    , en    , 0.8, 50.347, 0.798, 16.832, -1
15204340 (duplicate)              , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , it    , en    , 0.8, 51.359, 0.793, 18.194, -1
15223071 (duplicate)              , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , it    , en    , 0.8, 54.054, 0.800, 24.446, 0.000
15204287 (no ETM)                 , checkpoints/baseline_en=target/finetune_15204243  , data/wmt22           , it    , en    , 0.8, 50.493, 0.801, 17.361, -1
15204310 (no ETM)                 , checkpoints/baseline_en=target/finetune_15204243  , data/wmt22           , de    , en    , 0.8, 47.070, 0.792, 13.890, -1
15204321 (no ETM)                 , checkpoints/baseline_en=target/finetune_15204243  , data/wmt22           , fr    , en    , 0.8, 53.585, 0.825, 21.186, -1
15204336 (no ETM)                 , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , de    , en    , 0.8, 50.895, 0.792, 17.216, -1
15204330 (no ETM)                 , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , fr    , en    , 0.8, 53.902, 0.813, 22.050, -1
15225741 FT: gen; EVAL: de        , checkpoints/baseline_en=target/finetune_15204243  , data/wmt22           , de    , en    , 0.8, 46.211, 0.791, 14.364, 0.110
15225748 FT: gen; EVAL: fr        , checkpoints/baseline_en=target/finetune_15204243  , data/wmt22           , fr    , en    , 0.8, 55.114, 0.825, 22.092, 0.078
15225739 FT: gen; EVAL: it        , checkpoints/baseline_en=target/finetune_15204243  , data/wmt22           , it    , en    , 0.8, 48.687, 0.795, 16.798, 0.103
15224925 FT: gen; EVAL: ru        , checkpoints/baseline_en=target/finetune_15204243  , data/wmt22           , ru    , en    , 0.8, 49.624, 0.779, 15.629, 0.031
15225752 FT: gen&med=de; EVAL: de , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , de    , en    , 0.8, 49.198, 0.788, 17.042, 0.105
15225753 FT: gen&med=de; EVAL: fr , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , fr    , en    , 0.8, 56.089, 0.820, 23.813, 0.074
15223650 FT: gen&med=de; EVAL: it , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , it    , en    , 0.8, 53.009, 0.792, 23.582, 0.096
15225319 FT: gen&med=de; EVAL: ru , checkpoints/domain=de_en=target/finetune_15204246 , data/wmt22           , ru    , en    , 0.8, 51.897, 0.784, 17.086, 0.033
15225561 FT: gen&med=fr; EVAL: de , checkpoints/domain=fr_en=target/finetune_15204259 , data/wmt22           , de    , en    , 0.8, 50.171, 0.792, 16.812, 0.113
15225562 FT: gen&med=fr; EVAL: fr , checkpoints/domain=fr_en=target/finetune_15204259 , data/wmt22           , fr    , en    , 0.8, 57.804, 0.823, 24.605, 0.088
15225564 FT: gen&med=fr; EVAL: it , checkpoints/domain=fr_en=target/finetune_15204259 , data/wmt22           , it    , en    , 0.8, 52.007, 0.792, 18.568, 0.114
15225565 FT: gen&med=fr; EVAL: ru , checkpoints/domain=fr_en=target/finetune_15204259 , data/wmt22           , ru    , en    , 0.8, 52.569, 0.783, 17.087, 0.031
15225576 FT: gen&med=it; EVAL: de , checkpoints/domain=it_en=target/finetune_15204260 , data/wmt22           , de    , en    , 0.8, 47.428, 0.798, 13.810, 0.098
15225575 FT: gen&med=it; EVAL: fr , checkpoints/domain=it_en=target/finetune_15204260 , data/wmt22           , fr    , en    , 0.8, 54.181, 0.819, 21.714, 0.068
15225572 FT: gen&med=it; EVAL: it , checkpoints/domain=it_en=target/finetune_15204260 , data/wmt22           , it    , en    , 0.8, 46.478, 0.781, 14.147, 0.093
15225571 FT: gen&med=it; EVAL: ru , checkpoints/domain=it_en=target/finetune_15204260 , data/wmt22           , ru    , en    , 0.8, 48.770, 0.782, 14.226, 0.021
15225586 FT: gen&med=ru; EVAL: de , checkpoints/domain=ru_en=target/finetune_15224809 , data/wmt22           , de    , en    , 0.8, 49.356, 0.795, 16.031, 0.114
15225590 FT: gen&med=ru; EVAL: fr , checkpoints/domain=ru_en=target/finetune_15224809 , data/wmt22           , fr    , en    , 0.8, 58.331, 0.835, 26.041, 0.083
15225588 FT: gen&med=ru; EVAL: it , checkpoints/domain=ru_en=target/finetune_15224809 , data/wmt22           , it    , en    , 0.8, 51.337, 0.797, 18.467, 0.105
15225589 FT: gen&med=ru; EVAL: ru , checkpoints/domain=ru_en=target/finetune_15224809 , data/wmt22           , ru    , en    , 0.8, 50.902, 0.784, 16.638, 0.024
15236243 (wrong target)           , checkpoints/baseline_en=source/finetune_15225890  , data/wmt22           , it    , en    , 0.8, 29.699, 0.642,  2.742, 0.410
15236247 (wrong target)           , checkpoints/baseline_en=source/finetune_15225890  , data/wmt22           , ru    , en    , 0.8,  1.423, 0.575,  1.837, 0.551
15236242 (wrong target)           , checkpoints/baseline_en=source/finetune_15225890  , data/wmt22           , fr    , en    , 0.8, 30.521, 0.680,  2.928, 0.529
15236235 (wrong target)           , checkpoints/baseline_en=source/finetune_15225890  , data/wmt22           , de    , en    , 0.8, 25.419, 0.599,  2.370, 0.458
15226016                          , checkpoints/domain=de_en=source/finetune_15225977/, data/wmt22           , en    , it    , 0.8, 45.708, 0.726, 11.241, 0.198
15226015                          , checkpoints/domain=de_en=source/finetune_15225977/, data/wmt22           , en    , ru    , 0.8, 44.311, 0.789, 10.502, 0.158
15226014                          , checkpoints/domain=de_en=source/finetune_15225977/, data/wmt22           , en    , fr    , 0.8, 49.162, 0.786, 16.288, 0.259
15226012                          , checkpoints/domain=de_en=source/finetune_15225977/, data/wmt22           , en    , de    , 0.8, 41.107, 0.637,  8.111, 0.189
15225985                          , checkpoints/domain=fr_en=source/finetune_15225902/, data/wmt22           , en    , it    , 0.8, 50.446, 0.759, 13.978, 0.224
15225982                          , checkpoints/domain=fr_en=source/finetune_15225902/, data/wmt22           , en    , fr    , 0.8, 54.762, 0.804, 20.750, 0.282
